method,LDD_Dose_cm-2,LDD_E_keV,SD_Dose_cm-2,SD_E_keV,RTA_s,Spacer_Dep,Vtgm_V,Ion_A_per_um,Ioff_A_per_um,SS_mV_per_dec,gm
Numerical,7e13,7,4e16,23,5,0.25,-1.0878,1.474e-04,1.547e-15,85.660,1.044e-04
IonIoff_SS,3e13,3,5e16,10,3,0.30,-1.1421,1.35e-04,4.93e-16,85.181,9.91e-05
